trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
193,False,"{'a': 0.75, 'e': 0.012751877697217973}",20,10,15.928713362454868,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.75, 'e': 0.012371697773566948}",25,10,24.594365533452716,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.75, 'e': 0.012002783366752312}",20,10,22.048292039845652,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.75, 'e': 0.01164480472905105}",30,22,15.49512628289002,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.75, 'e': 0.011297441523778873}",30,16,24.62542768755869,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.75, 'e': 0.010960382571037597}",20,16,7.753802353415778,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.75, 'e': 0.010633325599463395}",20,14,9.67945177808047,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.75, 'e': 0.010315977003887755}",25,15,15.989864860512245,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.75, 'e': 0.010008051608824231}",30,2,48.819638414238625,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.75, 'e': 0.009709272437686378}",20,5,26.32094243330269,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,9,26.603190797619934,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,16,26.86743456702125,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,6,26.88393067331152,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,12,15.949586346600185,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,13,22.8003040996104,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,12,32.34796348765598,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,9,29.07641592028812,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,13,27.217182692395905,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,10,16.17094454503969,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,6,23.87127219356097,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
